Kd_1,Kd_2,aR,gR,dR,gT_1,gT_2,aL_1,aL_2,gL_1,gL_2,gN,N_fold_change
1,1.0,100.0,13.8301,0,27.5947,27.5947,2.5119,2.5119,13.8301,13.8301,0.5545177444479562,1.0
1,1.0,100.0,13.8301,0,27.5947,27.5947,15.8489,15.8489,13.8301,13.8301,0.5545177444479562,1.0
1,1.0,100.0,13.8301,0,27.5947,27.5947,100.0,100.0,13.8301,13.8301,0.5545177444479562,1.0
1,3.1623,0.01,13.8301,0,27.5947,27.5947,0.01,0.01,13.8301,13.8301,0.5545177444479562,0.3171578165340536
1,3.1623,0.01,13.8301,0,27.5947,27.5947,0.0631,0.0631,13.8301,13.8301,0.5545177444479562,0.31962448251099973
1,3.1623,0.01,13.8301,0,27.5947,27.5947,0.3981,0.3981,13.8301,13.8301,0.5545177444479562,0.33476698707294616
1,3.1623,0.01,13.8301,0,27.5947,27.5947,2.5119,2.5119,13.8301,13.8301,0.5545177444479562,0.41676142292029866
1,3.1623,0.01,13.8301,0,27.5947,27.5947,15.8489,15.8489,13.8301,13.8301,0.5545177444479562,0.6720880615327922
1,3.1623,0.01,13.8301,0,27.5947,27.5947,100.0,100.0,13.8301,13.8301,0.5545177444479562,0.912874050898034
1,3.1623,0.0631,13.8301,0,27.5947,27.5947,0.01,0.01,13.8301,13.8301,0.5545177444479562,0.31962448482245176
1,3.1623,0.0631,13.8301,0,27.5947,27.5947,0.0631,0.0631,13.8301,13.8301,0.5545177444479562,0.32203372073042585
1,3.1623,0.0631,13.8301,0,27.5947,27.5947,0.3981,0.3981,13.8301,13.8301,0.5545177444479562,0.3368704800425694
1,3.1623,0.0631,13.8301,0,27.5947,27.5947,2.5119,2.5119,13.8301,13.8301,0.5545177444479562,0.4176714371903771
1,3.1623,0.0631,13.8301,0,27.5947,27.5947,15.8489,15.8489,13.8301,13.8301,0.5545177444479562,0.6719200298602473
1,3.1623,0.0631,13.8301,0,27.5947,27.5947,100.0,100.0,13.8301,13.8301,0.5545177444479562,0.9128405391231315
1,3.1623,0.3981,13.8301,0,27.5947,27.5947,0.01,0.01,13.8301,13.8301,0.5545177444479562,0.33476703878447195
1,3.1623,0.3981,13.8301,0,27.5947,27.5947,0.0631,0.0631,13.8301,13.8301,0.5545177444479562,0.3368704679036553
1,3.1623,0.3981,13.8301,0,27.5947,27.5947,0.3981,0.3981,13.8301,13.8301,0.5545177444479562,0.34990552495171323
